FL_DATE,Test_Set_JFK,Forecast_Arima,Forecast_Expsm
2018-07-03,11.695266272189349,13.96706427732048,16.10976773303169
2018-07-04,23.9969040247678,13.487298001754546,15.443384178412002
2018-07-05,14.405099150141643,17.534719107975363,16.73388139582656
2018-07-06,32.99159663865546,14.585123404120914,16.382209520781423
2018-07-07,1.6628242074927955,20.813324623976897,18.892649136875907
2018-07-08,1.6276041666666667,10.834374896746956,16.289133963782287
2018-07-09,1.9536082474226804,10.338716414109419,14.092905403205961
2018-07-10,4.3549222797927465,10.005554752132323,12.259310784492312
2018-07-11,5.498708010335918,10.435944480279419,11.050272153274175
2018-07-12,7.607235142118863,10.55091528023899,10.193904619758145
2018-07-13,5.956743002544529,11.049479676998002,9.79358020296048
